Key,Level,CraftType,Name,NameJA,NameDE,NameFR,ClassJobLevel,MaterialQualityFactor,DifficultyFactor,QualityFactor,DurabilityFactor,SuggestedCraftsmanship,Stars,Difficulty,Quality,Durability,ProgressDivider,ProgressModifier,QualityDivider,QualityModifier
62,20,Smithing,Iron Claw Hammer,アイアンクローハンマー,Eisen-Klauenhammer,Marteau arrache-clou en fer,20,50,100,100,100,94,0,74,510,70,50,100,30,100

63,20,Smithing,Carnage Sword,カルネージソード,Massakerschwert,Épée bâtarde enrageante,20,50,150,75,100,94,0,74,510,70,50,100,30,100

64,21,Smithing,Iron Culinary Knife,アイアンクリナリーナイフ,Eisen-Küchenmesser,Couteau de cuisine en fer,21,50,100,100,100,94,0,75,540,70,50,100,30,100

65,21,Smithing,Iron Scythe,アイアンサイズ,Eisensense,Faux en fer,21,50,100,100,100,94,0,75,540,70,50,100,30,100

66,21,Smithing,Iron Mortar,アイアンモーター,Eisenmörser,Mortier en fer,21,50,100,100,100,94,0,75,540,70,50,100,30,100

67,21,Smithing,Inferno Axe,インフェルノアクス,Infernoaxt,Hache infernale,21,50,150,75,100,94,0,75,540,70,50,100,30,100

68,21,Smithing,Initiate's Cross-pein Hammer,イニシエート・クロスペインハンマー,Anfänger-Kreuz<SoftHyphen/>schlag<SoftHyphen/>ham<SoftHyphen/>mer,Marteau à panne croisée d'initié,21,50,100,100,100,94,0,75,540,70,50,100,30,100

69,21,Smithing,Initiate's Chaser Hammer,イニシエートチェーサーハンマー,Anfänger-Ziselierhammer,Marteau de ciseleur d'initié,21,50,100,100,100,94,0,75,540,70,50,100,30,100

70,21,Smithing,Initiate's Doming Hammer,イニシエートドーミングハンマー,Anfänger-Flachhammer,Marteau à emboutir d'initié,21,50,100,100,100,94,0,75,540,70,50,100,30,100

71,22,Smithing,Iron File,アイアンファイル,Eisenfeile,Lime en fer,22,50,100,100,100,94,0,75,570,70,50,100,30,100

72,22,Smithing,Iron Pliers,アイアンプライヤー,Eisenzange,Tenailles en fer,22,50,100,100,100,94,0,75,570,70,50,100,30,100

73,22,Smithing,Initiate's Pickaxe,イニシエートピック,Anfänger-Spitzhacke,Pioche d'initié,22,50,100,100,100,94,0,75,570,70,50,100,30,100

74,22,Smithing,Iron Shortsword,ショートソード,Eisen-Kurzschwert,Épée courte,22,50,100,100,100,94,0,75,570,70,50,100,30,100

75,23,Smithing,Iron Sledgehammer,アイアンモール,Eisen-Vorschlaghammer,Maillet en fer,23,50,100,100,100,99,0,79,600,70,50,100,30,100

76,23,Smithing,Initiate's Awl,イニシエートアウル,Anfänger-Ahle,Alêne d'initié,23,50,100,100,100,99,0,79,600,70,50,100,30,100

77,23,Smithing,Spiked Knuckles,スパイクナックル,Stachelschlagringe,Poings à pointes,23,50,100,100,100,99,0,79,600,70,50,100,30,100

78,24,Smithing,Iron Bill,ビル,Eisen-Hippe,Vouge,24,50,100,100,100,99,0,85,630,70,50,100,30,100

79,24,Smithing,Brass Hatchet,ブラスハチェット,Messinghandbeil,Hachette en laiton,24,50,150,75,100,99,0,85,630,70,50,100,30,100

80,24,Smithing,Bas-relief Iron Saw,レリーフアイアンソー,Kupferstich-Eisenfuchsschwanz,Scie en fer gravée,24,50,100,100,100,99,0,85,630,70,50,100,30,100

81,24,Smithing,Initiate's Claw Hammer,イニシエートクローハンマー,Anfänger-Klauenhammer,Marteau arrache-clou d'initié,24,50,100,100,100,99,0,85,630,70,50,100,30,100

82,24,Smithing,Initiate's Mortar,イニシエートモーター,Anfängermörser,Mortier d'initié,24,50,100,100,100,99,0,85,630,70,50,100,30,100

83,25,Smithing,Iron Round Knife,ラウンドナイフ,Eisenrundmesser,Couteau arrondi,25,50,100,100,100,99,0,89,660,70,50,100,30,100

84,25,Smithing,Iron Spatha,アイアンスパタ,Eisen-Spatha,Spathe en fer,25,50,100,100,100,99,0,89,660,70,50,100,30,100

85,25,Smithing,Initiate's Culinary Knife,イニシエートクリナリーナイフ,Anfänger-Küchenmesser,Couteau de cuisine d'initié,25,50,100,100,100,99,0,89,660,70,50,100,30,100

86,25,Smithing,Initiate's Scythe,イニシエートサイズ,Anfängersense,Faux d'initié,25,50,100,100,100,99,0,89,660,70,50,100,30,100

87,26,Smithing,Steel Ingot,スチールインゴット,Stahlbarren,Lingot d'acier,26,0,50,80,58,99,0,90,690,70,50,100,30,100

88,26,Smithing,Iron Ornamental Hammer,アイアンオーナメンタルハンマー,Eisen-Ornamenthammer,Marteau ornementé en fer,26,50,150,75,100,99,0,90,690,70,50,100,30,100

89,26,Smithing,Iron Raising Hammer,アイアンレイジングハンマー,Eisen-Schlichthammer,Marteau de batteur en fer,26,50,100,100,100,99,0,90,690,70,50,100,30,100

90,26,Smithing,Crowsbeak Hammer,クロウビークハンマー,Krä<SoftHyphen/>hen<SoftHyphen/>schna<SoftHyphen/>bel<SoftHyphen/>ham<SoftHyphen/>mer,Marteau corbeau,26,50,100,100,100,99,0,90,690,70,50,100,30,100

91,26,Smithing,Thunderstorm Axe,サンダーストームアクス,Donnersturmaxt,Hache orage,26,50,150,75,100,99,0,90,690,70,50,100,30,100

92,27,Smithing,Initiate's File,イニシエートファイル,Anfängerfeile,Lime d'initié,27,50,100,100,100,99,0,91,720,70,50,100,30,100

93,27,Smithing,Initiate's Pliers,イニシエートプライヤー,Anfängerzange,Tenailles d'initié,27,50,100,100,100,99,0,91,720,70,50,100,30,100

94,27,Smithing,Iron Dolabra,ドラブラ,Eisen-Dolabra,Dolabre,27,50,100,100,100,99,0,91,720,70,50,100,30,100

95,28,Smithing,Steel Broadsword,ブロードソード,Breitschwert,Épée large,28,50,100,100,100,106,0,100,760,70,50,100,30,100

96,28,Smithing,Iron Chocobotail Saw,アイアン・チョコボテイルソー,Eisen-Chocoboschwanz,Scie queue de chocobo en fer,28,50,100,100,100,106,0,100,760,70,50,100,30,100

97,28,Smithing,Spiked Steel Labrys,スパイクドスチールラブリュス,Stachelbewehrte Stahl-Labrys,Labrys en acier à pointe,28,50,100,100,100,106,0,100,760,70,50,100,30,100

98,29,Smithing,Steel Rivets,スチールリベット,Stahlnieten,Rivets en acier,29,50,50,80,58,106,0,101,800,70,50,100,30,100

99,29,Smithing,Iron Head Knife,アイアンヘッドナイフ,Eisen-Sattlermesser,Couteau à pied en fer,29,50,100,100,100,106,0,101,800,70,50,100,30,100

100,29,Smithing,Plumed Iron Hatchet,チョコボハチェット,Gefiedertes Eisenhandbeil,Hachette à plumet,29,50,100,100,100,106,0,101,800,70,50,100,30,100

101,29,Smithing,Heavy Crowsbeak Hammer,ヘヴィ・クロウビークハンマー,Schwerer Krä<SoftHyphen/>hen<SoftHyphen/>schna<SoftHyphen/>bel<SoftHyphen/>ham<SoftHyphen/>mer,Marteau corbeau lourd,29,50,150,75,100,106,0,101,800,70,50,100,30,100

102,29,Smithing,Steel Claws,メタルクロー,Stahlkrallen,Griffes métalliques,29,50,100,100,100,106,0,101,800,70,50,100,30,100

103,29,Smithing,Wrapped Iron Raising Hammer,ラップドレイジングハンマー,Umwickelter Eisen-Schlichthammer,Marteau de batteur en fer gainé,29,50,150,75,100,106,0,101,800,70,50,100,30,100

104,30,Smithing,Steel Chaser Hammer,スチールチェーサーハンマー,Stahl-Ziselierhammer,Marteau de ciseleur en acier,30,50,100,100,100,106,0,102,850,70,50,100,30,100

105,30,Smithing,Steel Pickaxe,スチールピック,Stahl-Spitzhacke,Pioche en acier,30,50,100,100,100,106,0,102,850,70,50,100,30,100

106,30,Smithing,Steel Sledgehammer,スチールモール,Stahl-Vorschlaghammer,Maillet en acier,30,50,100,100,100,106,0,102,850,70,50,100,30,100

107,30,Smithing,Silver Head Knife,シルバーヘッドナイフ,Silber-Sattlermesser,Couteau à pied en argent,30,50,150,75,100,106,0,102,850,70,50,100,30,100

108,30,Smithing,Bas-relief Steel Saw,レリーフスチールソー,Kupferstich-Stahlfuchsschwanz,Scie en acier gravée,30,50,100,100,100,106,0,102,850,70,50,100,30,100

109,31,Smithing,Steel Awl,スチールアウル,Stahl-Ahle,Alêne en acier,31,50,100,100,100,121,0,106,900,80,50,100,30,100

110,31,Smithing,Steel Claw Hammer,スチールクローハンマー,Stahl-Klauenhammer,Marteau arrache-clou en acier,31,50,100,100,100,121,0,106,900,80,50,100,30,100

111,31,Smithing,Steel Falchion,スチールファルシオン,Stahl-Falchion,Fauchon en acier,31,50,100,100,100,121,0,106,900,80,50,100,30,100

112,32,Smithing,Steel Culinary Knife,スチールクリナリーナイフ,Stahl-Küchenmesser,Couteau de cuisine en acier,32,50,100,100,100,121,0,110,950,80,50,100,30,100

113,32,Smithing,Steel Bardiche,スチールバルディッシュ,Stahl-Berdysch,Bardiche en acier,32,50,100,100,100,121,0,110,950,80,50,100,30,100

114,32,Smithing,Steel Mortar,スチールモーター,Stahlmörser,Mortier en acier,32,50,100,100,100,121,0,110,950,80,50,100,30,100

115,32,Smithing,Steel Cross-pein Hammer,スチール・クロスペインハンマー,Stahl-Kreuz<SoftHyphen/>schlag<SoftHyphen/>ham<SoftHyphen/>mer,Marteau à panne croisée en acier,32,50,100,100,100,121,0,110,950,80,50,100,30,100

116,32,Smithing,Steel Ornamental Hammer,スチールオーナメンタルハンマー,Stahl-Ornamenthammer,Marteau ornementé en acier,32,50,100,100,100,121,0,110,950,80,50,100,30,100

117,33,Smithing,Steel Scythe,スチールサイズ,Stahlsense,Faux en acier,33,50,100,100,100,121,0,111,1000,80,50,100,30,100

118,33,Smithing,Wrapped Steel Sledgehammer,ラップドスチールモール,Umwickelter Stahl-Vorschlaghammer,Maillet en acier gainé,33,50,150,75,100,121,0,111,1000,80,50,100,30,100

119,35,Smithing,Plumed Steel Hatchet,スチールチョコボハチェット,Gefiedertes Stahlhandbeil,Hachette à plumet en acier,35,50,100,100,100,129,0,123,1110,80,50,100,30,100

120,33,Smithing,Steel Dolabra,スチールドラブラ,Stahl-Dolabra,Dolabre en acier,33,50,100,100,100,121,0,111,1000,80,50,100,30,100

121,34,Smithing,Steel File,スチールファイル,Stahlfeile,Lime en acier,34,50,100,100,100,129,0,115,1050,80,50,100,30,100

122,34,Smithing,Steel Doming Hammer,スチールドーミングハンマー,Stahl-Flachhammer,Marteau à emboutir en acier,34,50,100,100,100,129,0,115,1050,80,50,100,30,100

123,34,Smithing,Steel Crowsbeak Hammer,スチールビークハンマー,Stahl-Krä<SoftHyphen/>hen<SoftHyphen/>schna<SoftHyphen/>bel<SoftHyphen/>ham<SoftHyphen/>mer,Marteau corbeau en acier,34,50,100,100,100,129,0,115,1050,80,50,100,30,100

124,33,Smithing,Steel Hatchet,スチールハチェット,Stahlhandbeil,Hachette en acier,33,50,100,100,100,121,0,111,1000,80,50,100,30,100

125,35,Smithing,Steel Pliers,スチールプライヤー,Stahlzange,Tenailles en acier,35,50,100,100,100,129,0,123,1110,80,50,100,30,100

126,35,Smithing,Crosscut Saw,クロスカットソー,Ziehsäge,Scie égoïne,35,50,100,100,100,129,0,123,1110,80,50,100,30,100

127,35,Smithing,Steel Bhuj,スチールブージ,Stahl-Bhuj,Bhuj en acier,35,50,100,100,100,129,0,123,1110,80,50,100,30,100

128,35,Smithing,Wrapped Steel Culinary Knife,スチールクリナリーナイフDX,Umwickeltes Stahl-Küchenmesser,Couteau de cuisine en acier renforcé,35,50,100,100,100,129,0,123,1110,80,50,100,30,100

129,35,Smithing,Heavy Steel Mortar,スチールモーターDX,Schwerer Stahlmörser,Mortier en acier renforcé,35,50,150,75,100,129,0,123,1110,80,50,100,30,100

130,35,Smithing,Wrapped Steel Scythe,ラップドスチールサイズ,Umwickelte Stahlsense,Faux en acier gainée,35,50,150,75,100,129,0,123,1110,80,50,100,30,100

131,36,Smithing,Steel Round Knife,スチールラウンドナイフ,Stahlrundmesser,Couteau arrondi en acier,36,50,100,100,100,129,0,124,1160,80,50,100,30,100

132,36,Smithing,Wrapped Steel Claw Hammer,ラップド・スチールクローハンマー,Umwickelter Stahl-Klauenhammer,Marteau arrache-clou en acier gainé,36,50,150,75,100,129,0,124,1160,80,50,100,30,100

133,36,Smithing,Wrapped Steel Awl,ラップドスチールアウル,Umwickelte Stahl-Ahle,Alêne en acier gainée,36,50,150,75,100,129,0,124,1160,80,50,100,30,100

134,37,Smithing,Steel Longsword,スチールロングソード,Stahl-Langschwert,Épée longue en acier,37,50,100,100,100,129,0,128,1220,80,50,100,30,100

135,38,Smithing,Mythril Ingot,ミスリルインゴット,Mithril-Barren,Lingot de mithril,38,0,50,80,50,129,0,129,1280,80,50,100,30,100

136,38,Smithing,Plumed Mythril Pickaxe,プルームドミスリルピック,Gefiederte Mithrilspitzhacke,Pioche en mithril à plumet,38,50,100,100,100,129,0,129,1280,80,50,100,30,100

137,38,Smithing,Mythril Broadsword,ミスリルブロードソード,Mithril-Breitschwert,Épée large en mithril,38,50,100,100,100,129,0,129,1280,80,50,100,30,100

138,38,Smithing,Mythril Hatchet,ミスリルハチェット,Mithrilhandbeil,Hachette en mithril,38,50,100,100,100,129,0,129,1280,80,50,100,30,100

139,39,Smithing,Mythril Rivets,ミスリルリベット,Mithrilnieten,Rivets en mithril,39,50,50,80,50,136,0,137,1340,80,50,100,30,100

140,39,Smithing,Spiked Mythril Labrys,スパイクドミスリルラブリュス,Stachelbewehrte Mithril-Labrys,Labrys en mithril à pointe,39,50,100,100,100,136,0,137,1340,80,50,100,30,100

141,39,Smithing,Mythril Claws,ミスリルクロー,Mithrilkrallen,Griffes en mithril,39,50,100,100,100,136,0,137,1340,80,50,100,30,100

142,39,Smithing,Mythril Head Knife,ミスリルヘッドナイフ,Mithril-Sattlermesser,Couteau à pied en mithril,39,50,100,100,100,136,0,137,1340,80,50,100,30,100

143,39,Smithing,Mythril Saw,ミスリルソー,Mithrilfuchsschwanz,Scie en mithril,39,50,100,100,100,136,0,137,1340,80,50,100,30,100

144,40,Smithing,Mythril Ornamental Hammer,ミスリルオーナメンタルハンマー,Mithril-Ornamenthammer,Marteau ornementé en mithril,40,50,100,100,100,136,0,138,1400,80,50,100,30,100

145,40,Smithing,Mythril Bhuj,ミスリルブージ,Mithril-Bhuj,Bhuj en mithril,40,50,100,100,100,136,0,138,1400,80,50,100,30,100

146,40,Smithing,Mythril Awl,ミスリルアウル,Mithril-Ahle,Alêne en mithril,40,50,100,100,100,136,0,138,1400,80,50,100,30,100

147,40,Smithing,Mythril Claw Hammer,ミスリルクローハンマー,Mithril-Klauenhammer,Marteau arrache-clou en mithril,40,50,100,100,100,136,0,138,1400,80,50,100,30,100

148,40,Smithing,Mythril File,ミスリルファイル,Mithrilfeile,Lime en mithril,40,50,100,100,100,136,0,138,1400,80,50,100,30,100

149,41,Smithing,Mythril Culinary Knife,ミスリルクリナリーナイフ,Mithril-Küchenmesser,Couteau de cuisine en mithril,41,50,100,100,100,136,0,143,1460,80,50,100,30,100

150,41,Smithing,Mythril Scythe,ミスリルサイズ,Mithrilsense,Faux en mithril,41,50,100,100,100,136,0,143,1460,80,50,100,30,100

151,41,Smithing,Mythril Mortar,ミスリルモーター,Mithrilmörser,Mortier en mithril,41,50,100,100,100,136,0,143,1460,80,50,100,30,100

152,41,Smithing,Mythril Sledgehammer,ミスリルモール,Mithril-Vorschlaghammer,Maillet en mithril,41,50,100,100,100,136,0,143,1460,80,50,100,30,100

153,42,Smithing,Cobalt Ingot,コバルトインゴット,Koboldeisenbarren,Lingot de cobalt,42,0,50,80,50,150,0,144,1520,80,50,100,30,100

154,42,Smithing,Mythril Pliers,ミスリルプライヤー,Mithrilzange,Tenailles en mithril,42,50,100,100,100,150,0,144,1520,80,50,100,30,100

155,43,Smithing,Cobalt Rivets,コバルトリベット,Koboldeisennieten,Rivets en cobalt,43,50,50,80,50,150,0,155,1580,80,50,100,30,100

156,42,Smithing,Cobalt Katzbalger,カッツバルゲル,Koboldeisen-Katzbalger,Katzbalger,42,50,100,100,100,150,0,144,1520,80,50,100,30,100

157,42,Smithing,Cobalt Knuckles,コバルトナックル,Koboldeisen-Schlagringe,Poings en cobalt,42,50,100,100,100,150,0,144,1520,80,50,100,30,100

158,43,Smithing,Cobalt Shamshir,シャムシール,Koboldeisen-Shamshir,Shamshir,43,50,100,100,100,150,0,155,1580,80,50,100,30,100

159,43,Smithing,Buccaneer's Bardiche,バッカニアバルディッシュ,Freibeuter-Berdysch,Bardiche du boucanier,43,50,100,100,100,150,0,155,1580,80,50,100,30,100

160,45,Smithing,Demilune Bhuj,デミルーンブージ,Halbmond-Bhuj,Bhuj demi-lune,45,50,100,100,100,150,0,158,1700,80,50,100,30,100

161,45,Smithing,Wrapped Hawksbeak Hammer,ラップド・ホークビークハンマー,Umwickelter Falkenschnabelhammer,Marteau faucon gainé,45,50,150,75,100,150,0,158,1700,80,50,100,30,100

162,46,Smithing,Bas-relief Cobalt Saw,レリーフコバルトソー,Kupferstich-Koboldeisen-Fuchsschwanz,Scie en cobalt gravée,46,50,100,100,100,150,0,159,1760,80,50,100,30,100

163,46,Smithing,Electrum Head Knife,エレクトラムヘッドナイフ,Elektrum-Sattlermesser,Couteau à pied en électrum,46,50,100,100,100,150,0,159,1760,80,50,100,30,100

164,47,Smithing,Electrum Lapidary Hammer,エレクトラムラピダリーハンマー,Elektrum-Juwelierhammer,Marteau de lapidaire en électrum,47,50,100,100,100,161,0,167,1820,80,50,100,30,100

