#,CraftType,RecipeLevelTable,Name,MaterialQualityFactor,DifficultyFactor,QualityFactor,DurabilityFactor,RequiredControl,RequiredCraftsmanship
123,Smithing,RecipeLevelTable#34,Steel Crowsbeak Hammer,50,100,100,100,0,0
124,Smithing,RecipeLevelTable#33,Steel Hatchet,50,100,100,100,0,0
125,Smithing,RecipeLevelTable#35,Steel Pliers,50,100,100,100,0,0
126,Smithing,RecipeLevelTable#35,Crosscut Saw,50,100,100,100,0,0
127,Smithing,RecipeLevelTable#35,Steel Bhuj,50,100,100,100,0,0
128,Smithing,RecipeLevelTable#35,Wrapped Steel Culinary Knife,50,100,100,100,0,0
129,Smithing,RecipeLevelTable#35,Heavy Steel Mortar,50,150,75,100,0,0
130,Smithing,RecipeLevelTable#35,Wrapped Steel Scythe,50,150,75,100,0,0
131,Smithing,RecipeLevelTable#36,Steel Round Knife,50,100,100,100,0,0
132,Smithing,RecipeLevelTable#36,Wrapped Steel Claw Hammer,50,150,75,100,0,0
133,Smithing,RecipeLevelTable#36,Wrapped Steel Awl,50,150,75,100,0,0
134,Smithing,RecipeLevelTable#37,Steel Longsword,50,100,100,100,0,0
135,Smithing,RecipeLevelTable#38,Mythril Ingot,0,50,80,50,0,0
136,Smithing,RecipeLevelTable#38,Plumed Mythril Pickaxe,50,100,100,100,0,0
137,Smithing,RecipeLevelTable#38,Mythril Broadsword,50,100,100,100,0,0
138,Smithing,RecipeLevelTable#38,Mythril Hatchet,50,100,100,100,0,0
139,Smithing,RecipeLevelTable#39,Mythril Rivets,50,50,80,50,0,0
140,Smithing,RecipeLevelTable#39,Spiked Mythril Labrys,50,100,100,100,0,0
141,Smithing,RecipeLevelTable#39,Mythril Claws,50,100,100,100,0,0
142,Smithing,RecipeLevelTable#39,Mythril Head Knife,50,100,100,100,0,0
143,Smithing,RecipeLevelTable#39,Mythril Saw,50,100,100,100,0,0
144,Smithing,RecipeLevelTable#40,Mythril Ornamental Hammer,50,100,100,100,0,0
145,Smithing,RecipeLevelTable#40,Mythril Bhuj,50,100,100,100,0,0
146,Smithing,RecipeLevelTable#40,Mythril Awl,50,100,100,100,0,0
147,Smithing,RecipeLevelTable#40,Mythril Claw Hammer,50,100,100,100,0,0
148,Smithing,RecipeLevelTable#40,Mythril File,50,100,100,100,0,0
149,Smithing,RecipeLevelTable#41,Mythril Culinary Knife,50,100,100,100,0,0
150,Smithing,RecipeLevelTable#41,Mythril Scythe,50,100,100,100,0,0
151,Smithing,RecipeLevelTable#41,Mythril Mortar,50,100,100,100,0,0
152,Smithing,RecipeLevelTable#41,Mythril Sledgehammer,50,100,100,100,0,0
153,Smithing,RecipeLevelTable#42,Cobalt Ingot,0,50,80,50,0,0
154,Smithing,RecipeLevelTable#42,Mythril Pliers,50,100,100,100,0,0
155,Smithing,RecipeLevelTable#43,Cobalt Rivets,50,50,80,50,0,0
156,Smithing,RecipeLevelTable#42,Cobalt Katzbalger,50,100,100,100,0,0
157,Smithing,RecipeLevelTable#42,Cobalt Knuckles,50,100,100,100,0,0
158,Smithing,RecipeLevelTable#43,Cobalt Shamshir,50,100,100,100,0,0
159,Smithing,RecipeLevelTable#43,Buccaneer's Bardiche,50,100,100,100,0,0
160,Smithing,RecipeLevelTable#45,Demilune Bhuj,50,100,100,100,0,0
161,Smithing,RecipeLevelTable#45,Wrapped Hawksbeak Hammer,50,150,75,100,0,0
162,Smithing,RecipeLevelTable#46,Bas-relief Cobalt Saw,50,100,100,100,0,0
163,Smithing,RecipeLevelTable#46,Electrum Head Knife,50,100,100,100,0,0
164,Smithing,RecipeLevelTable#47,Electrum Lapidary Hammer,50,100,100,100,0,0
165,Smithing,RecipeLevelTable#47,Cobalt Raising Hammer,50,100,100,100,0,0
166,Smithing,RecipeLevelTable#48,Egret Dolabra,50,100,100,100,0,0
167,Smithing,RecipeLevelTable#49,Horned Hatchet,50,100,100,100,0,0
168,Smithing,RecipeLevelTable#49,Cobalt Winglet,50,100,100,100,0,0
169,Smithing,RecipeLevelTable#49,Cobalt Claws,50,100,100,100,0,0
170,Armorcraft,RecipeLevelTable#1,Bronze Ingot,0,50,80,67,0,0
171,Armorcraft,RecipeLevelTable#2,Bronze Rivets,50,50,80,67,0,0
172,Armorcraft,RecipeLevelTable#2,Bronze Rings,50,50,80,67,0,0
173,Armorcraft,RecipeLevelTable#3,Bronze Plate,50,50,80,67,0,0
174,Armorcraft,RecipeLevelTable#3,Bronze Alembic,50,100,100,100,0,0
175,Armorcraft,RecipeLevelTable#4,Bronze Skillet,50,100,100,100,0,0
176,Armorcraft,RecipeLevelTable#5,Bronze Hoplon,50,100,100,100,0,0
177,Armorcraft,RecipeLevelTable#6,Bronze Haubergeon,50,100,100,100,0,0
178,Armorcraft,RecipeLevelTable#7,Bronze Sollerets,50,100,100,100,0,0
179,Armorcraft,RecipeLevelTable#8,Bronze Chain Coif,50,100,100,100,0,0
180,Armorcraft,RecipeLevelTable#8,Bronze Sallet,50,100,100,100,0,0
181,Armorcraft,RecipeLevelTable#9,Bronze Mitt Gauntlets,50,100,100,100,0,0
182,Armorcraft,RecipeLevelTable#9,Amateur's Alembic,50,100,100,100,0,0
183,Armorcraft,RecipeLevelTable#10,Bronze Barbut,50,100,100,100,0,0
184,Armorcraft,RecipeLevelTable#10,Bronze Scutum,50,100,100,100,0,0
185,Armorcraft,RecipeLevelTable#11,Amateur's Skillet,50,100,100,100,0,0
186,Armorcraft,RecipeLevelTable#11,,50,100,100,100,0,0
187,Armorcraft,RecipeLevelTable#12,Bronze Cuirass,50,100,100,100,0,0
188,Armorcraft,RecipeLevelTable#12,Bronze Celata,50,100,100,100,0,0
189,Armorcraft,RecipeLevelTable#13,Iron Ingot,0,50,80,67,0,0
190,Armorcraft,RecipeLevelTable#13,Bronze Sabatons,50,100,100,100,0,0
191,Armorcraft,RecipeLevelTable#14,Iron Rivets,50,50,80,67,0,0
192,Armorcraft,RecipeLevelTable#14,Iron Plate,50,50,80,67,0,0
193,Armorcraft,RecipeLevelTable#14,Bronze Gauntlets,50,100,100,100,0,0
194,Armorcraft,RecipeLevelTable#15,Iron Rings,50,50,80,58,0,0
195,Armorcraft,RecipeLevelTable#15,Bronze Buckler,50,100,100,100,0,0
196,Armorcraft,RecipeLevelTable#15,Iron Skillet,50,100,100,100,0,0
197,Armorcraft,RecipeLevelTable#15,Brass Alembic,50,150,75,100,0,0
198,Armorcraft,RecipeLevelTable#16,Decorated Bronze Barbut,50,150,75,100,0,0
199,Armorcraft,RecipeLevelTable#16,Decorated Bronze Mitt Gauntlets,50,150,75,100,0,0
200,Armorcraft,RecipeLevelTable#17,Iron Hoplon,50,100,100,100,0,0
201,Armorcraft,RecipeLevelTable#18,Initiate's Alembic,50,100,100,100,0,0
202,Armorcraft,RecipeLevelTable#18,Initiate's Skillet,50,100,100,100,0,0
203,Armorcraft,RecipeLevelTable#19,Iron Sabatons,50,100,100,100,0,0
204,Armorcraft,RecipeLevelTable#19,Iron Sallet,50,100,100,100,0,0
205,Armorcraft,RecipeLevelTable#19,,50,100,100,100,0,0
206,Armorcraft,RecipeLevelTable#20,Iron Gauntlets,50,100,100,100,0,0
207,Armorcraft,RecipeLevelTable#20,Iron Cuirass,50,100,100,100,0,0
208,Armorcraft,RecipeLevelTable#20,Iron Celata,50,100,100,100,0,0
209,Armorcraft,RecipeLevelTable#20,Ironclad Bronze Buckler,50,150,75,100,0,0
210,Armorcraft,RecipeLevelTable#21,Iron Vambraces,50,100,100,100,0,0
211,Armorcraft,RecipeLevelTable#21,Iron Lantern Shield,50,100,100,100,0,0
212,Armorcraft,RecipeLevelTable#22,Iron Elmo,50,100,100,100,0,0
213,Armorcraft,RecipeLevelTable#22,Iron-plated Jackboots,50,100,100,100,0,0
214,Armorcraft,RecipeLevelTable#23,Iron Alembic,50,100,100,100,0,0
215,Armorcraft,RecipeLevelTable#23,Iron Scale Greaves,50,100,100,100,0,0
216,Armorcraft,RecipeLevelTable#23,Iron Scale Fingers,50,100,100,100,0,0
217,Armorcraft,RecipeLevelTable#23,Iron Scale Mail,50,100,100,100,0,0
218,Armorcraft,RecipeLevelTable#23,Iron Frypan,50,100,100,100,0,0
219,Armorcraft,RecipeLevelTable#24,Reinforced Iron Sallet,50,150,75,100,0,0
220,Armorcraft,RecipeLevelTable#24,Iron Scutum,50,100,100,100,0,0
221,Armorcraft,RecipeLevelTable#24,,50,100,100,100,0,0
222,Armorcraft,RecipeLevelTable#25,Heavy Iron Armor,50,100,100,100,0,0
223,Armorcraft,RecipeLevelTable#25,Heavy Iron Gauntlets,50,100,100,100,0,0
224,Armorcraft,RecipeLevelTable#25,Heavy Iron Flanchard,50,100,100,100,0,0
225,Armorcraft,RecipeLevelTable#26,Steel Ingot,0,50,80,58,0,0
226,Armorcraft,RecipeLevelTable#26,Conical Alembic,50,150,75,100,0,0
227,Armorcraft,RecipeLevelTable#27,Steel Plate,50,50,80,58,0,0
228,Armorcraft,RecipeLevelTable#27,Steel Rivets,50,50,80,58,0,0
229,Armorcraft,RecipeLevelTable#27,Iron Kite Shield,50,100,100,100,0,0
230,Armorcraft,RecipeLevelTable#27,Bomb Frypan,50,100,100,100,0,0
231,Armorcraft,RecipeLevelTable#28,Steel Rings,50,50,80,58,0,0
232,Armorcraft,RecipeLevelTable#28,,50,100,100,100,0,0
233,Armorcraft,RecipeLevelTable#28,Steel Chainmail,50,100,100,100,0,0
234,Armorcraft,RecipeLevelTable#29,Steel Sallet,50,100,100,100,0,0
235,Armorcraft,RecipeLevelTable#29,Steel Alembic,50,100,100,100,0,0
236,Armorcraft,RecipeLevelTable#29,Steel Skillet,50,100,100,100,0,0
237,Armorcraft,RecipeLevelTable#30,Steel Gauntlets,50,100,100,100,0,0
238,Armorcraft,RecipeLevelTable#30,Steel Cuirass,50,100,100,100,0,0
239,Armorcraft,RecipeLevelTable#30,Steel Sabatons,50,100,100,100,0,0
240,Armorcraft,RecipeLevelTable#30,Steel Celata,50,100,100,100,0,0
241,Armorcraft,RecipeLevelTable#30,Steel-plated Jackboots,50,100,100,100,0,0
242,Armorcraft,RecipeLevelTable#31,Steel Vambraces,50,100,100,100,0,0
243,Armorcraft,RecipeLevelTable#31,,50,100,100,100,0,0
244,Armorcraft,RecipeLevelTable#31,Bull Hoplon,50,100,100,100,0,0
245,Armorcraft,RecipeLevelTable#31,Steel Elmo,50,100,100,100,0,0
246,Armorcraft,RecipeLevelTable#32,Steel Scale Greaves,50,100,100,100,0,0
247,Armorcraft,RecipeLevelTable#32,Steel Scale Fingers,50,100,100,100,0,0
248,Armorcraft,RecipeLevelTable#32,Steel Scale Mail,50,100,100,100,0,0
249,Armorcraft,RecipeLevelTable#33,Decorated Buckler,50,150,75,100,0,0
250,Armorcraft,RecipeLevelTable#33,White Skillet,50,100,100,100,0,0
251,Armorcraft,RecipeLevelTable#34,Silver Alembic,50,100,100,100,0,0
252,Armorcraft,RecipeLevelTable#34,,50,100,100,100,0,0
253,Armorcraft,RecipeLevelTable#34,Heavy Steel Armor,50,100,100,100,0,0
254,Armorcraft,RecipeLevelTable#34,Heavy Steel Gauntlets,50,100,100,100,0,0
255,Armorcraft,RecipeLevelTable#34,Decorated Iron Scutum,50,150,75,100,0,0
256,Armorcraft,RecipeLevelTable#35,Heavy Steel Flanchard,50,100,100,100,0,0
257,Armorcraft,RecipeLevelTable#35,Steel-plated Caligae,50,100,100,100,0,0
258,Armorcraft,RecipeLevelTable#35,Steel Barbut,50,100,100,100,0,0
259,Armorcraft,RecipeLevelTable#35,Steel Mitt Gauntlets,50,100,100,100,0,0
260,Armorcraft,RecipeLevelTable#36,Mythril Ingot,0,50,80,50,0,0
261,Armorcraft,RecipeLevelTable#36,Steel Frypan,50,100,100,100,0,0
262,Armorcraft,RecipeLevelTable#37,Mythril Rings,50,50,80,50,0,0
263,Armorcraft,RecipeLevelTable#37,Mythril Rivets,50,50,80,50,0,0
264,Armorcraft,RecipeLevelTable#37,Bladed Lantern Shield,50,100,100,100,0,0
265,Armorcraft,RecipeLevelTable#38,Mythril Plate,50,50,80,50,0,0
266,Armorcraft,RecipeLevelTable#40,Horn Scale Mail,50,100,100,100,0,0
267,Armorcraft,RecipeLevelTable#40,Mythril Elmo,50,100,100,100,0,0
268,Armorcraft,RecipeLevelTable#40,Mythril Alembic,50,100,100,100,0,0
269,Armorcraft,RecipeLevelTable#41,Mythril-plated Jackboots,50,100,100,100,0,0
270,Armorcraft,RecipeLevelTable#41,Mythril Barbut,50,100,100,100,0,0
271,Armorcraft,RecipeLevelTable#42,Mythril-plated Caligae,50,100,100,100,0,0
272,Armorcraft,RecipeLevelTable#42,Mythril Mesail,50,100,100,100,0,0
273,Armorcraft,RecipeLevelTable#42,Cobalt Ingot,0,50,80,50,0,0
274,Armorcraft,RecipeLevelTable#41,Mythril Vambraces,50,100,100,100,0,0
275,Armorcraft,RecipeLevelTable#42,Mythril Sollerets,50,100,100,100,0,0
276,Armorcraft,RecipeLevelTable#42,Mythril Chain Coif,50,100,100,100,0,0
277,Armorcraft,RecipeLevelTable#42,Mythril Haubergeon,50,100,100,100,0,0
278,Armorcraft,RecipeLevelTable#43,Cobalt Plate,50,50,80,50,0,0
279,Armorcraft,RecipeLevelTable#43,Cobalt Rings,50,50,80,50,0,0
280,Armorcraft,RecipeLevelTable#43,Mythril Mitt Gauntlets,50,100,100,100,0,0
281,Armorcraft,RecipeLevelTable#43,Cobalt Skillet,50,100,100,100,0,0
282,Armorcraft,RecipeLevelTable#44,Cobalt Rivets,50,50,80,50,0,0
283,Armorcraft,RecipeLevelTable#44,Reinforced Mythril Elmo,50,150,75,100,0,0
284,Armorcraft,RecipeLevelTable#44,Cobalt Vambraces,50,100,100,100,0,0
285,Armorcraft,RecipeLevelTable#45,Cobalt-plated Jackboots,50,100,100,100,0,0
286,Armorcraft,RecipeLevelTable#45,Cobalt Elmo,50,100,100,100,0,0
287,Armorcraft,RecipeLevelTable#45,Tortoiseshell Scale Mail,50,100,100,100,0,0
288,Armorcraft,RecipeLevelTable#46,Cobalt Barbut,50,100,100,100,0,0
289,Armorcraft,RecipeLevelTable#46,Cobalt-plated Caligae,50,100,100,100,0,0
290,Armorcraft,RecipeLevelTable#48,Cobalt Mitt Gauntlets,50,100,100,100,0,0
291,Armorcraft,RecipeLevelTable#49,Cobalt Mesail,50,100,100,100,0,0
292,Armorcraft,RecipeLevelTable#50,Kite Shield,50,100,100,100,0,0
293,Armorcraft,RecipeLevelTable#50,Cobalt Sollerets,50,100,100,100,0,0
294,Armorcraft,RecipeLevelTable#50,Cobalt Chain Coif,50,100,100,100,0,0
295,Armorcraft,RecipeLevelTable#50,Cobalt Haubergeon,50,100,100,100,0,0
296,Armorcraft,RecipeLevelTable#50,Thermal Alembic,50,100,100,100,0,0
297,Armorcraft,RecipeLevelTable#50,Cobalt Gauntlets,50,100,100,100,0,0
298,Armorcraft,RecipeLevelTable#50,Cobalt Cuirass,50,100,100,100,0,0
299,Armorcraft,RecipeLevelTable#50,Cobalt Sabatons,50,100,100,100,0,0
300,Armorcraft,RecipeLevelTable#50,Cobalt Celata,50,100,100,100,0,0
301,Armorcraft,RecipeLevelTable#50,,50,100,100,100,0,0
302,Leatherworking,RecipeLevelTable#1,Leather,0,50,80,67,0,0
303,Leatherworking,RecipeLevelTable#1,Leather Calot,50,100,100,100,0,0
304,Leatherworking,RecipeLevelTable#2,Leather Duckbills,50,100,100,100,0,0
305,Leatherworking,RecipeLevelTable#2,Leather Wristguards,50,100,100,100,0,0
306,Leatherworking,RecipeLevelTable#3,,50,100,100,100,0,0
307,Leatherworking,RecipeLevelTable#3,Leather Duckbills of Gathering,50,100,100,100,0,0
308,Leatherworking,RecipeLevelTable#3,,50,100,100,100,0,0
309,Leatherworking,RecipeLevelTable#4,Fingerless Leather Gloves,50,100,100,100,0,0
310,Leatherworking,RecipeLevelTable#4,Leather Shoes,50,100,100,100,0,0
311,Leatherworking,RecipeLevelTable#4,Leather Eyepatch,50,100,100,100,0,0
312,Leatherworking,RecipeLevelTable#4,,50,100,100,100,0,0
313,Leatherworking,RecipeLevelTable#5,Leather Crakows,50,100,100,100,0,0
314,Leatherworking,RecipeLevelTable#5,Leather Choker,50,100,100,100,0,0
315,Leatherworking,RecipeLevelTable#5,Leather Culottes,50,100,100,100,0,0
316,Leatherworking,RecipeLevelTable#6,Leather Lightmitts,50,100,100,100,0,0
317,Leatherworking,RecipeLevelTable#6,Leather Boots,50,100,100,100,0,0
318,Leatherworking,RecipeLevelTable#6,Leather Ringbands,50,100,100,100,0,0
319,Leatherworking,RecipeLevelTable#6,Leather Mitts,50,100,100,100,0,0
320,Leatherworking,RecipeLevelTable#7,Leather Himantes,50,100,100,100,0,0
321,Leatherworking,RecipeLevelTable#7,Leather Wristbands,50,100,100,100,0,0
322,Leatherworking,RecipeLevelTable#8,Hard Leather,0,50,80,67,0,0
323,Leatherworking,RecipeLevelTable#8,Leather Sandals,50,100,100,100,0,0
324,Leatherworking,RecipeLevelTable#8,Hard Leather Pot Helm,50,100,100,100,0,0
325,Leatherworking,RecipeLevelTable#8,Leather Leggings,50,100,100,100,0,0
326,Leatherworking,RecipeLevelTable#9,Amateur's Thighboots,50,100,100,100,0,0
327,Leatherworking,RecipeLevelTable#9,Amateur's Smithing Gloves,50,100,100,100,0,0
328,Leatherworking,RecipeLevelTable#9,Amateur's Duckbills,50,100,100,100,0,0
329,Leatherworking,RecipeLevelTable#10,Leather Jacket,50,100,100,100,0,0
